dataset	NCBIname	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_CorrectedExpression_GC12	rho_CorrectedExpression_GC12	tau_CorrectedExpression_GC12	r_CorrectedExpression_GC3	rho_CorrectedExpression_GC3	tau_CorrectedExpression_GC3	r_CorrectedExpression_GCutr	rho_CorrectedExpression_GCutr	tau_CorrectedExpression_GCutr	r_CorrectedExpression_NcJN	rho_CorrectedExpression_NcJN	tau_CorrectedExpression_NcJN	r_CorrectedExpression_NcpJN	rho_CorrectedExpression_NcpJN	tau_CorrectedExpression_NcpJN	r_CorrectedExpression_ENccubt	rho_CorrectedExpression_ENccubt	tau_CorrectedExpression_ENccubt	r_CorrectedExpression_ENcPcubt	rho_CorrectedExpression_ENcPcubt	tau_CorrectedExpression_ENcPcubt	r_CorrectedExpression_ENcFDScubt	rho_CorrectedExpression_ENcFDScubt	tau_CorrectedExpression_ENcFDScubt	r_CorrectedExpression_ENcPFDScubt	rho_CorrectedExpression_ENcPFDScubt	tau_CorrectedExpression_ENcPFDScubt	r_CorrectedExpression_Umcubt	rho_CorrectedExpression_Umcubt	tau_CorrectedExpression_Umcubt	r_CorrectedExpression_Ltot	rho_CorrectedExpression_Ltot	tau_CorrectedExpression_Ltot	r_CorrectedExpression_nReads	rho_CorrectedExpression_nReads	tau_CorrectedExpression_nReads	r_nCountedReads_GC12	rho_nCountedReads_GC12	tau_nCountedReads_GC12	r_nCountedReads_GC3	rho_nCountedReads_GC3	tau_nCountedReads_GC3	r_nCountedReads_GCutr	rho_nCountedReads_GCutr	tau_nCountedReads_GCutr	r_nCountedReads_NcJN	rho_nCountedReads_NcJN	tau_nCountedReads_NcJN	r_nCountedReads_NcpJN	rho_nCountedReads_NcpJN	tau_nCountedReads_NcpJN	r_nCountedReads_ENccubt	rho_nCountedReads_ENccubt	tau_nCountedReads_ENccubt	r_nCountedReads_ENcPcubt	rho_nCountedReads_ENcPcubt	tau_nCountedReads_ENcPcubt	r_nCountedReads_ENcFDScubt	rho_nCountedReads_ENcFDScubt	tau_nCountedReads_ENcFDScubt	r_nCountedReads_ENcPFDScubt	rho_nCountedReads_ENcPFDScubt	tau_nCountedReads_ENcPFDScubt	r_nCountedReads_Umcubt	rho_nCountedReads_Umcubt	tau_nCountedReads_Umcubt	r_nCountedReads_Ltot	rho_nCountedReads_Ltot	tau_nCountedReads_Ltot	r_GC3_GCutr	rho_GC3_GCutr	tau_GC3_GCutr
Artemia_salina	Artemia__salina	13586	552.79906	500.82978	0.40863	0.0357	0.44317	0.0497	0.33939	0.05394	0.32139	0.07212	-0.01164	-0.09632	-0.06421	0.04524	0.04849	0.03334	nan	-0.37388	-0.99528	-0.0639	-0.09943	-0.06724	-0.03519	-0.04166	-0.02962	0.26959	0.39621	0.27162	0.28613	0.42463	0.29335	0.23451	0.34746	0.23461	0.27752	0.39069	0.26466	nan	-0.44025	-0.87404	0.28941	0.503	0.35425	0.99237	0.97674	0.90255	0.09524	0.06068	0.04215	0.03303	0.0353	0.0251	nan	-0.3718	-1.00666	-0.06952	-0.11229	-0.07657	-0.05811	-0.07329	-0.05126	0.28685	0.43361	0.30446	0.30129	0.45908	0.32516	0.26106	0.39775	0.2759	0.31104	0.4484	0.3134	nan	-0.47435	-0.93961	0.30068	0.5355	0.38702	nan	-0.02456	-1.00029
Artemia_sinica	Artemia__sinica	12607	533.72959	497.67752	0.41094	0.03604	0.44427	0.0502	0.34413	0.05393	0.32768	0.07399	-0.01435	-0.09028	-0.06008	0.07863	0.07689	0.05218	nan	-0.37049	-0.99268	-0.06773	-0.09105	-0.06168	-0.05048	-0.03761	-0.02679	0.26116	0.3934	0.27015	0.27504	0.42066	0.29062	0.23341	0.35481	0.2405	0.27216	0.38976	0.26391	nan	-0.43726	-0.93843	0.28767	0.50442	0.35644	0.9912	0.97045	0.89006	0.08615	0.06797	0.0468	0.06739	0.06605	0.0459	nan	-0.3683	-1.02766	-0.07351	-0.10301	-0.07063	-0.07037	-0.06824	-0.04761	0.28313	0.44073	0.31132	0.29456	0.46361	0.32977	0.26357	0.41294	0.28833	0.3078	0.45425	0.31793	nan	-0.47828	-0.97298	0.30138	0.54506	0.39715	nan	-0.03528	-0.99737
Artemia_tibetana	Artemia__tibetiana	13098	528.57513	501.89975	0.41097	0.03639	0.44418	0.04969	0.34442	0.05439	0.32812	0.07307	-0.00958	-0.09887	-0.0657	0.05775	0.05229	0.0357	nan	-0.34867	-0.99684	-0.0557	-0.08187	-0.05544	-0.04442	-0.02933	-0.0213	0.27301	0.40256	0.27581	0.28789	0.43121	0.2984	0.23732	0.35612	0.24062	0.28456	0.39899	0.27002	nan	-0.44981	-0.96454	0.28819	0.50911	0.35911	0.99357	0.97578	0.89753	0.08531	0.06225	0.0431	0.05059	0.04283	0.03004	nan	-0.34867	-1.01679	-0.05913	-0.09104	-0.06233	-0.06165	-0.05752	-0.0406	0.29286	0.44432	0.31336	0.30505	0.46869	0.33388	0.26441	0.40883	0.28496	0.31696	0.4582	0.32086	nan	-0.48376	-0.89049	0.29986	0.54331	0.39473	nan	-0.02642	-1.00133
Bostrycapulus_aculeatus	Bostrycapulus__aculeatus	5286	532.55259	483.54544	0.51154	0.04148	0.48184	0.05224	0.57105	0.09715	0.40523	0.07196	0.00653	-0.00452	-0.00217	0.14765	0.11669	0.07873	nan	-0.53765	-0.98117	-0.17501	-0.1394	-0.09489	-0.20033	-0.15863	-0.10836	nan	0.37724	0.25576	nan	0.43593	0.2975	0.19908	0.36291	0.24376	0.2203	0.37913	0.25603	nan	-0.46648	-0.90115	0.35695	0.59988	0.42765	0.99815	0.98991	0.94109	0.02548	0.03501	0.02331	0.14829	0.11711	0.08008	nan	-0.54177	-0.97171	-0.17533	-0.13885	-0.09572	-0.19678	-0.15057	-0.10446	nan	0.39626	0.26179	nan	0.45509	0.30035	0.21033	0.38536	0.26317	0.23148	0.40126	0.27566	nan	-0.48442	-0.88852	0.36367	0.6171	0.44842	nan	-0.02583	-0.99587
Caenorhabditis_brenneri	Caenorhabditis__brenneri	3000	749.69567	465.42971	0.45199	0.0442	0.4597	0.05393	0.43655	0.10038	0.32492	0.07019	-0.00772	-0.22555	-0.16776	0.3092	0.30009	0.20688	nan	-0.28545	-0.927	-0.33367	-0.19104	-0.12794	-0.32511	-0.19879	-0.13369	-0.24685	-0.09081	-0.05672	-0.24381	-0.12278	-0.08048	-0.23444	-0.12075	-0.07891	-0.28434	-0.18362	-0.12072	nan	0.06338	-0.74476	0.1069	0.17986	0.1201	0.98335	0.8771	0.73307	0.17043	0.15624	0.10606	0.27155	0.24122	0.16527	nan	-0.28601	-0.90993	-0.38468	-0.31099	-0.21327	-0.3909	-0.34153	-0.23471	-0.30209	-0.18998	-0.12629	-0.29698	-0.21163	-0.14194	-0.28792	-0.21195	-0.14196	-0.30917	-0.23357	-0.15787	nan	0.11587	-0.65643	0.0882	0.16428	0.11016	nan	-0.00689	-0.9608
Caenorhabditis_sp10	Caenorhabditis__elegans	5099	418.5607	264.90954	0.42819	0.04113	0.44595	0.05135	0.39259	0.08789	0.31918	0.06875	-0.00259	-0.20239	-0.14651	0.36959	0.3537	0.24316	nan	-0.41009	-0.9947	-0.28213	-0.15707	-0.10641	-0.33171	-0.20187	-0.13669	0.04956	0.22026	0.15553	0.00757	0.16122	0.11353	0.01585	0.13794	0.09718	-0.05417	0.06776	0.04791	nan	-0.35789	-0.94775	0.47334	0.55177	0.38326	0.97619	0.87068	0.72519	0.21069	0.21532	0.1484	0.32416	0.27943	0.19429	nan	-0.42426	-1.05766	-0.33425	-0.2622	-0.18222	-0.39103	-0.31325	-0.21817	0.00886	0.19824	0.14331	-0.02598	0.15962	0.11605	-0.01193	0.14443	0.105	-0.04472	0.13385	0.09829	nan	-0.39169	-0.91472	0.47003	0.59327	0.42559	nan	-0.13268	-0.99958
Callithrix_jacchus	Callithrix__jacchus	9439	428.51351	320.55986	0.47341	0.06293	0.46215	0.05201	0.496	0.13731	0.4286	0.08918	-0.0047	-0.10502	-0.07428	0.168	0.21003	0.14023	nan	-0.32469	-0.9963	-0.07923	-0.08456	-0.05641	-0.07806	-0.09551	-0.06392	0.29904	0.32864	0.22233	0.36251	0.39573	0.26809	0.30582	0.33743	0.22617	0.32664	0.35312	0.2366	nan	-0.41084	-0.97975	0.4858	0.50966	0.35363	0.99184	0.9301	0.81238	0.08963	0.15892	0.10727	0.18939	0.26549	0.17991	nan	-0.31975	-1.03425	-0.09494	-0.12634	-0.08538	-0.09132	-0.13591	-0.09212	0.30346	0.34995	0.24139	0.36864	0.41554	0.28606	0.32481	0.39349	0.27123	0.34762	0.40996	0.28179	nan	-0.43631	-0.98086	0.49096	0.53232	0.37565	nan	0.02208	-0.99966
Camponotus_aethiops	Camponotus__aethiops	7540	1033.75066	991.06681	0.43138	0.07735	0.433	0.06198	0.42814	0.13684	0.34018	0.09017	-0.0013	0.02509	0.02388	-0.14804	-0.16353	-0.10508	nan	-0.55986	-0.89435	-0.06989	-0.11745	-0.07853	0.01864	0.04047	0.02744	0.09061	0.16749	0.10891	0.15476	0.27273	0.17566	0.10415	0.19379	0.12642	0.15432	0.27286	0.17838	nan	-0.27552	-0.8222	0.0725	0.29855	0.1918	0.97938	0.90652	0.77293	-0.07673	-0.11654	-0.07886	-0.19665	-0.24015	-0.16243	nan	-0.62243	-0.88834	-0.06146	-0.09276	-0.06323	0.04293	0.08033	0.05563	0.12844	0.27887	0.18555	0.19977	0.402	0.26909	0.14076	0.30021	0.20054	0.1904	0.38186	0.25719	nan	-0.39053	-0.82896	0.10676	0.42918	0.28839	nan	0.2233	-0.97399
Camponotus_ligniperdus_4indiv	Camponotus__ligniperdus	8308	1187.81175	1193.20984	0.42702	0.07412	0.43071	0.05939	0.41962	0.13108	0.35346	0.08674	-0.01861	-0.03039	-0.01695	-0.15425	-0.2024	-0.13125	nan	-0.36115	-0.70281	-0.06015	-0.10661	-0.07129	-0.03421	0.00586	0.00403	-0.0644	-0.04375	-0.03039	-0.03346	0.009	0.00147	-0.06229	-0.03363	-0.02369	-0.02301	0.01733	0.00874	nan	-0.03297	-0.55665	-0.09024	0.01464	0.00437	0.98681	0.96497	0.85987	-0.07478	-0.11559	-0.07599	-0.19156	-0.25102	-0.16712	nan	-0.39713	-0.75321	-0.05358	-0.09376	-0.06297	-0.01358	0.03545	0.02436	-0.03891	0.00385	-0.00055	-0.00248	0.06755	0.0388	-0.03583	0.01659	0.00833	0.00223	0.06643	0.04015	nan	-0.08457	-0.70791	-0.07031	0.06847	0.03843	nan	0.26741	-0.85529
Carcinus_aestuarii	Carcinus__aestuarii	14426	737.4713	697.13563	0.50358	0.05738	0.47863	0.05569	0.55353	0.11492	0.41892	0.07942	0.00375	-0.06757	-0.04659	0.11424	0.06877	0.04697	nan	-0.57301	-0.94574	-0.02811	-0.00467	-0.00316	-0.0397	-0.02905	-0.01994	nan	0.27562	0.18446	nan	0.31091	0.20805	nan	0.27895	0.18675	nan	0.28913	0.19354	nan	-0.33148	-0.94213	0.19641	0.40431	0.27217	0.99694	0.9613	0.8721	0.04024	0.05576	0.03797	0.12936	0.10892	0.0748	nan	-0.58339	-1.0076	-0.02435	-0.00628	-0.00404	-0.03411	-0.02474	-0.01741	nan	0.33005	0.17748	nan	0.36862	0.20022	nan	0.33851	0.23179	nan	0.34991	0.24067	nan	-0.38577	-0.67856	0.20972	0.4635	0.32349	nan	0.05175	-0.98579
Chelonoidis_nigra	Chelonoidis__nigra	9387	700.1631	579.85777	0.46661	0.06322	0.46212	0.05617	0.47559	0.12084	0.40521	0.08413	-0.00703	-0.1791	-0.12684	0.08212	-0.00262	-0.00151	nan	-0.26256	-0.93282	-0.0174	0.00358	0.00239	-0.06554	-0.00733	-0.00524	0.04979	0.09857	0.06523	0.05002	0.10842	0.07123	0.05171	0.08529	0.05627	0.05159	0.08918	0.05834	nan	-0.1099	-0.88246	0.0242	0.12761	0.08394	0.99616	0.93749	0.81641	0.05809	0.07075	0.04784	0.10675	0.07971	0.054	nan	-0.2298	-0.85693	-0.02089	-0.00363	-0.00245	-0.07794	-0.05681	-0.03879	0.06014	0.13919	0.09348	0.05744	0.13611	0.09064	0.06999	0.14622	0.09852	0.06854	0.14291	0.09557	nan	-0.14834	-0.75117	0.02944	0.1664	0.11094	nan	0.24023	-0.92856
Chlorocebus_aethiops	Chlorocebus__aethiops	11180	463.62522	367.82065	0.48562	0.06872	0.47035	0.05637	0.51623	0.14557	0.44637	0.09514	-0.00216	-0.06963	-0.05088	0.11549	0.16842	0.11243	nan	-0.3731	-0.99526	-0.07224	-0.09684	-0.06465	-0.06356	-0.09995	-0.06703	0.23009	0.30109	0.2027	0.2996	0.39695	0.26828	0.2414	0.31532	0.21011	0.27891	0.35997	0.24012	nan	-0.3936	-0.94625	0.37315	0.50022	0.34461	0.99603	0.94742	0.83565	0.05976	0.16141	0.10885	0.13687	0.23472	0.1596	nan	-0.3711	-1.03307	-0.08305	-0.12849	-0.08711	-0.07273	-0.13203	-0.08988	0.23092	0.30997	0.21262	0.30306	0.40773	0.28045	0.2537	0.3609	0.24783	0.29243	0.40291	0.27655	nan	-0.4086	-0.91431	0.37637	0.51332	0.36008	nan	0.00735	-1.00017
Ciona_intestinalis_A	Ciona__cf.__intestinalis__A__AZ-2012	8094	758.86286	475.76878	0.40521	0.0434	0.42004	0.04919	0.37554	0.0712	0.2992	0.06472	0.01332	-0.10346	-0.07163	0.04005	-0.0231	-0.01565	nan	-0.13703	-0.74909	-0.03125	-0.05492	-0.03663	-0.10878	-0.05385	-0.03584	-0.12578	-0.07233	-0.04849	-0.1617	-0.06468	-0.04395	-0.13054	-0.07045	-0.0473	-0.12856	-0.05723	-0.03847	nan	0.04939	-0.52348	-0.11768	-0.02622	-0.01833	0.99741	0.96811	0.88036	0.07516	0.05803	0.03883	0.05237	0.01097	0.00725	nan	-0.13118	-0.7703	-0.02348	-0.02827	-0.01915	-0.11722	-0.07638	-0.0515	-0.11279	-0.03552	-0.02443	-0.15675	-0.05054	-0.03484	-0.11751	-0.03822	-0.02625	-0.11376	-0.0208	-0.01464	nan	0.0245	-0.79085	-0.11625	-0.01995	-0.01425	nan	0.08119	-0.56299
Ciona_intestinalis_B	Ciona__cf.__intestinalis__B__AZ-2012	5753	777.32261	479.46938	0.40436	0.03792	0.42401	0.0412	0.36505	0.0689	0.30876	0.05247	0.01203	-0.01357	-0.01012	0.05783	-0.0098	-0.00689	nan	-0.13999	-0.73736	-0.01283	-0.03544	-0.02362	-0.08746	-0.04674	-0.03118	-0.06211	-0.02222	-0.01636	-0.08886	-0.01367	-0.0105	-0.06507	-0.02806	-0.01982	-0.06667	-0.00586	-0.00507	nan	0.00306	-0.79766	-0.0868	0.0111	0.00553	0.99913	0.9908	0.93716	0.01329	-0.02768	-0.01891	0.05774	-0.01196	-0.00836	nan	-0.13894	-0.57638	-0.01334	-0.03948	-0.02654	-0.08718	-0.04939	-0.0331	-0.06306	-0.02976	-0.0213	-0.08929	-0.01814	-0.01356	-0.06501	-0.03201	-0.02249	-0.06688	-0.00972	-0.0076	nan	0.00523	-0.59353	-0.08855	0.00695	0.00283	nan	0.05555	-0.70847
Crepidula_fornicata	Crepidula__fornicata	7008	755.32106	638.03749	0.52725	0.04816	0.48339	0.04986	0.61504	0.10494	0.41044	0.0753	0.00876	-0.05931	-0.04069	0.10988	0.0878	0.0588	nan	-0.31801	-0.96401	-0.1467	-0.11685	-0.07888	-0.18172	-0.14857	-0.10039	nan	-0.02524	-0.0165	nan	0.02189	0.01673	-0.08815	-0.0168	-0.01091	nan	0.01057	0.01006	nan	-0.0376	-0.69536	0.0002	0.11877	0.08032	0.99916	0.98812	0.9283	0.03738	0.04568	0.03084	0.11224	0.0943	0.06384	nan	-0.31709	-0.9856	-0.14634	-0.11618	-0.07911	-0.17665	-0.13273	-0.09053	nan	-0.01636	-0.01476	nan	0.03501	0.03223	-0.08152	0.00675	0.00513	nan	0.036	0.03718	nan	-0.0539	-0.76154	0.00089	0.12664	0.08646	nan	0.03242	-0.96382
