dataset	NCBI_name	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r.expression_GC12	rho.expression_GC12	tau.expression_GC12	r.expression_GC3	rho.expression_GC3	tau.expression_GC3	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENcP	rho.expression_ENcP	tau.expression_ENcP	r.expression_ENcFDS	rho.expression_ENcFDS	tau.expression_ENcFDS	r.expression_ENcPFDS	rho.expression_ENcPFDS	tau.expression_ENcPFDS	r.expression_Um	rho.expression_Um	tau.expression_Um	r.expression_Ltot	rho.expression_Ltot	tau.expression_Ltot	r.expression_nReads	rho.expression_nReads	tau.expression_nReads	r.nReads_GC12	rho.nReads_GC12	tau.nReads_GC12	r.nReads_GC3	rho.nReads_GC3	tau.nReads_GC3	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENcP	rho.nReads_ENcP	tau.nReads_ENcP	r.nReads_ENcFDS	rho.nReads_ENcFDS	tau.nReads_ENcFDS	r.nReads_ENcPFDS	rho.nReads_ENcPFDS	tau.nReads_ENcPFDS	rho.nReads_Um	tau.nReads_Um
Artemia_salina	Artemia salina	13586	552.799057854	500.829778818	0.408628354	0.035697542	0.339394939	0.0539424096	0.3213927075	0.0721244201	-0.0116350594	-0.0963151553	-0.064210586	0.0452385267	0.0484882778	0.0333408745	0.2695875682	0.3962138751	0.2716214889	0.2695875682	0.3962138751	0.2716214889	0.2861307081	0.4246344408	0.2933471138	0.2345110242	0.347456937	0.2346118934	0.2775157306	0.3906888581	0.2646561003	nan	-0.440252728	-0.8740390398	0.2894058469	0.5030012434	0.3542478375	0.9923732509	0.9767439366	0.902553759	0.0952429309	0.0606796289	0.0421455873	0.0330301871	0.0353022858	0.0250982243	0.2868538803	0.4336122063	0.3044616256	0.2868538803	0.4336122063	0.3044616256	0.3012915137	0.4590828647	0.3251568896	0.2610619708	0.3977484401	0.2758997624	0.3110434212	0.4483954503	0.3134018115	-0.4743505447	-0.9396096703
Artemia_sinica	Artemia sinica	12607	533.72959467	497.677520278	0.4109394249	0.0360397043	0.3441335799	0.053929122	0.3276764767	0.0739861761	-0.0143521616	-0.0902797082	-0.0600765178	0.078625658	0.0768878635	0.0521839151	0.2611610302	0.3933979427	0.2701456037	0.2611610302	0.3933979427	0.2701456037	0.2750412485	0.420663415	0.2906181448	0.2334100552	0.354805987	0.2405012844	0.2721608006	0.3897647002	0.263910963	nan	-0.4372570715	-0.9384340703	0.2876665073	0.504423004	0.3564417753	0.9911973658	0.970453293	0.8900568378	0.0861541383	0.0679712479	0.0468008209	0.0673908136	0.066048708	0.0459003667	0.283128448	0.4407263542	0.3113163678	0.283128448	0.4407263542	0.3113163678	0.2945649508	0.4636118228	0.3297724921	0.2635668893	0.4129401432	0.2883284533	0.3078041032	0.4542548581	0.3179252493	-0.4782766933	-0.9729769587
Artemia_tibetana	Artemia tibetiana	13098	528.575125973	501.899751501	0.4109701384	0.0363901627	0.3444205392	0.0543947728	0.3281199579	0.0730722295	-0.0095777439	-0.0988738998	-0.0657037835	0.0577514858	0.0522903462	0.0357044758	0.2730104339	0.4025590255	0.2758071694	0.2730104339	0.4025590255	0.2758071694	0.2878885597	0.4312139947	0.2983956016	0.2373211305	0.35611888	0.2406167614	0.2845576486	0.3989914539	0.2700242734	nan	-0.4498079026	-0.9645409152	0.288188131	0.5091098407	0.359105498	0.9935708761	0.975782588	0.8975342914	0.0853136254	0.0622537306	0.0431043015	0.0505913813	0.0428251076	0.0300418811	0.2928645342	0.4443204322	0.3133569578	0.2928645342	0.4443204322	0.3133569578	0.3050519986	0.4686919644	0.3338782314	0.2644114709	0.4088271385	0.2849572618	0.3169621061	0.4581992345	0.320856605	-0.4837588751	-0.8904890502
Bostrycapulus_aculeatus	Bostrycapulus aculeatus	5286	532.552591752	483.545443343	0.511535336	0.0414794308	0.5710475302	0.097150354	0.405227266	0.0719561621	0.0065341085	-0.0045197194	-0.0021748817	0.147647815	0.1166869164	0.0787299902	nan	0.3772413974	0.2557621135	nan	0.3772413974	0.2557621135	nan	0.4359284386	0.2975003867	0.1990773079	0.3629058228	0.2437557608	0.2203036313	0.3791331982	0.2560260904	nan	-0.466482173	-0.9011528998	0.3569494521	0.599880559	0.4276545495	0.9981492717	0.9899085198	0.9410897479	0.025481171	0.0350133487	0.02330958	0.1482894819	0.1171129943	0.0800838476	nan	0.3962644657	0.2617874712	nan	0.3962644657	0.2617874712	nan	0.4550885422	0.3003451646	0.210326465	0.3853646125	0.263174801	0.2314750633	0.4012604483	0.2756649607	-0.4844191548	-0.8885247453
Caenorhabditis_brenneri	Caenorhabditis brenneri	3000	749.695666667	465.429712253	0.4519878973	0.0441965643	0.4365482022	0.100383119	0.324918919	0.0701860919	-0.007716116	-0.2255496096	-0.1677595471	0.3092017761	0.3000883394	0.2068754094	-0.2468453111	-0.0908106343	-0.0567161342	-0.2468453111	-0.0908106343	-0.0567161342	-0.2438144683	-0.1227809132	-0.0804753812	-0.2344406466	-0.1207520901	-0.0789076058	-0.284343384	-0.1836207468	-0.1207234263	nan	0.0633830126	-0.7447626101	0.1069029737	0.1798560265	0.120102158	0.9833484615	0.8771046034	0.7330674305	0.1704306276	0.1562411359	0.1060564052	0.2715465836	0.2412205588	0.1652661071	-0.3020898564	-0.1899814191	-0.1262858798	-0.3020898564	-0.1899814191	-0.1262858798	-0.296975262	-0.2116260021	-0.1419434554	-0.2879215462	-0.2119508659	-0.1419575657	-0.3091733096	-0.2335666152	-0.1578685719	0.1158746475	-0.6564269249
Caenorhabditis_sp10	Caenorhabditis elegans	5099	418.560698176	264.90954099	0.4281905983	0.0411289476	0.3925866279	0.0878883611	0.3191806823	0.0687500896	-0.0025916377	-0.2023903687	-0.1465094259	0.3695947037	0.3536983707	0.2431584162	0.0495635036	0.2202586009	0.1555296217	0.0495635036	0.2202586009	0.1555296217	0.0075698007	0.1612216093	0.1135346909	0.0158500495	0.1379372225	0.0971764261	-0.054169728	0.0677627324	0.0479099488	nan	-0.3578855971	-0.9477521056	0.4733405701	0.5517669602	0.3832613765	0.9761899954	0.870680755	0.7251936825	0.2106893783	0.2153228137	0.1484019947	0.3241589814	0.2794341937	0.1942850405	0.0088560027	0.1982412917	0.1433076311	0.0088560027	0.1982412917	0.1433076311	-0.025981309	0.159622368	0.1160462233	-0.0119274512	0.1444284985	0.1049979079	-0.0447229708	0.1338549208	0.098289112	-0.3916938416	-0.9147199155
Callithrix_jacchus	Callithrix jacchus	9439	428.513507787	320.559860921	0.4734081742	0.0629275189	0.4959980889	0.1373072584	0.4286005538	0.0891757461	-0.0046982892	-0.1050234325	-0.0742818096	0.1680005331	0.2100284511	0.1402262513	0.2990359672	0.3286390228	0.2223250682	0.2990359672	0.3286390228	0.2223250682	0.3625129136	0.3957322923	0.2680903063	0.3058159619	0.3374260271	0.2261671346	0.3266366096	0.3531240829	0.2366049923	nan	-0.41083963	-0.9797524033	0.4858002447	0.5096592706	0.3536270085	0.9918428318	0.9301027793	0.8123831185	0.0896341947	0.1589167889	0.1072723124	0.1893852785	0.2654906164	0.1799136086	0.3034560105	0.3499470793	0.2413883642	0.3034560105	0.3499470793	0.2413883642	0.368643048	0.4155375668	0.2860605446	0.3248147141	0.3934855869	0.2712277265	0.3476157431	0.4099624827	0.2817935831	-0.436306521	-0.9808615791
Camponotus_aethiops	Camponotus aethiops	11810	1187.36883997	1231.50093938	0.4280623081	0.0746377302	0.4205402917	0.1330404143	0.3409356229	0.0861622706	-0.0006646193	-0.0030850494	0.0008970898	-0.1459241805	-0.1761884764	-0.1147463293	0.0731874837	0.1260535315	0.0810696014	0.0731874837	0.1260535315	0.0810696014	0.122068268	0.1971722271	0.1235420284	0.0841484416	0.1421722212	0.0913887078	0.1296696644	0.2018999542	0.1293013137	nan	-0.2087855687	-0.6618749011	0.023562237	0.2159252676	0.1347897308	0.9843841218	0.9573182539	0.8452337695	-0.062488832	-0.0959229228	-0.0642065563	-0.1862827188	-0.2275966373	-0.1527238371	0.1017506526	0.1894187756	0.1235122325	0.1017506526	0.1894187756	0.1235122325	0.1582511562	0.2742254768	0.1774399644	0.1131949826	0.2051804185	0.1340587396	0.1591462826	0.266752802	0.1746155296	-0.275678781	-0.6957856099
Camponotus_ligniperdus_4indiv	Camponotus ligniperdus	11165	1250.09332736	1320.69506062	0.4271634784	0.0735917303	0.4192825532	0.1303745679	0.3542662409	0.0868478739	-0.0054538654	-0.0189757741	-0.0105808794	-0.1383181648	-0.1868718549	-0.1217956953	-0.0664696617	-0.0460340294	-0.0319591888	-0.0664696617	-0.0460340294	-0.0319591888	-0.0436482724	-0.0068364195	-0.0091781242	-0.0638064515	-0.0363499819	-0.0255334197	-0.0307754188	0.0041704987	-2.03E-005	nan	-0.0197164586	-0.5396790225	-0.0934941957	-0.0001402651	-0.0053794487	0.9866634333	0.967864703	0.8647478607	-0.0621708903	-0.1004139819	-0.0664517342	-0.1762162792	-0.2329571876	-0.1553972634	-0.0418753873	-0.002535602	-0.0048821895	-0.0418753873	-0.002535602	-0.0048821895	-0.0128753356	0.0476219286	0.0254321369	-0.0381943821	0.0097951065	0.0037867016	-0.0055622953	0.0496433061	0.0289394643	-0.0662245841	-0.7508245984
Carcinus_aestuarii	Carcinus aestuarii	14426	737.471301816	697.135625381	0.5035758878	0.0573765861	0.5535263657	0.1149233243	0.4189228687	0.0794222079	0.0037483061	-0.0675738053	-0.0465945235	0.1142433217	0.0687680887	0.0469723742	nan	0.2756163748	0.1844590359	nan	0.2756163748	0.1844590359	nan	0.3109077923	0.20804725	nan	0.2789526987	0.1867544455	nan	0.2891343901	0.1935381444	nan	-0.3314798505	-0.9421292689	0.1964092194	0.404307499	0.2721738062	0.996942799	0.9612985763	0.8721023699	0.0402376204	0.0557602463	0.037973642	0.1293630292	0.1089220565	0.0748034805	nan	0.330051002	0.1774809834	nan	0.330051002	0.1774809834	nan	0.3686209197	0.2002167308	nan	0.3385111873	0.2317854936	nan	0.3499121037	0.2406739935	-0.3857713204	-0.6785596682
Chelonoidis_nigra	Chelonoidis nigra	9387	700.163097901	579.857765269	0.4666077805	0.0632189399	0.4755941222	0.1208436449	0.4052104825	0.0841286281	-0.0070298687	-0.179095373	-0.1268406565	0.082116996	-0.0026229043	-0.0015062529	0.0497917301	0.0985747848	0.0652290485	0.0497917301	0.0985747848	0.0652290485	0.050021584	0.1084203772	0.0712277075	0.0517081167	0.0852916367	0.0562747908	0.05159018	0.0891765544	0.0583401128	nan	-0.1099013252	-0.8824589873	0.0242047413	0.1276127862	0.083938688	0.9961627193	0.9374937867	0.8164112035	0.0580927406	0.0707515303	0.0478351447	0.1067492825	0.0797145811	0.0539961706	0.0601375621	0.1391884831	0.0934775551	0.0601375621	0.1391884831	0.0934775551	0.0574402176	0.1361083053	0.0906398034	0.069993722	0.1462213126	0.0985218433	0.0685402475	0.1429147344	0.0955683298	-0.1483446869	-0.7511706481
Chlorocebus_aethiops	Chlorocebus aethiops	11180	463.625223614	367.820645617	0.4856166881	0.0687171883	0.5162339679	0.1455665079	0.4463699802	0.0951442407	-0.0021557378	-0.0696343409	-0.0508787486	0.1154947422	0.1684222182	0.1124340956	0.2300927925	0.3010893032	0.2027016333	0.2300927925	0.3010893032	0.2027016333	0.2995991902	0.3969527739	0.2682791539	0.2413982759	0.3153153201	0.210113438	0.2789072187	0.3599723681	0.2401153232	nan	-0.3936048958	-0.9462457753	0.3731464118	0.500218886	0.344611698	0.9960345795	0.9474157388	0.8356459424	0.059759373	0.1614057767	0.1088546258	0.1368737722	0.234718739	0.1595966921	0.2309199878	0.309967321	0.2126153957	0.2309199878	0.309967321	0.2126153957	0.3030581329	0.4077326162	0.2804538529	0.2537008977	0.3609020914	0.2478315857	0.2924295687	0.4029086741	0.2765513927	-0.4086034408	-0.9143143388
Ciona_intestinalis_A	Ciona cf. intestinalis A AZ-2012	8094	758.862861379	475.768784413	0.4052102504	0.0433996833	0.3755414168	0.0712035073	0.2991989214	0.0647164193	0.0133172228	-0.103457871	-0.0716253817	0.040047645	-0.0230981953	-0.0156490388	-0.1257769895	-0.0723250201	-0.0484939662	-0.1257769895	-0.0723250201	-0.0484939662	-0.1616953961	-0.0646833749	-0.0439523901	-0.1305382305	-0.0704515264	-0.0473019082	-0.128557297	-0.0572265799	-0.0384699156	nan	0.0493924105	-0.5234796171	-0.1176814007	-0.0262178099	-0.0183338291	0.9974113327	0.968111334	0.8803610151	0.0751614349	0.0580274397	0.0388261115	0.0523748108	0.0109656823	0.0072496293	-0.1127937034	-0.0355164574	-0.0244341219	-0.1127937034	-0.0355164574	-0.0244341219	-0.156746405	-0.0505440928	-0.0348442543	-0.1175099258	-0.0382229766	-0.0262549363	-0.1137580744	-0.0208034214	-0.0146442627	0.02449566	-0.790854122
Ciona_intestinalis_B	Ciona cf. intestinalis B AZ-2012	5753	777.322614288	479.469380002	0.4043584052	0.0379209719	0.3650507717	0.0689044025	0.3087572303	0.0524741544	0.0120280514	-0.0135734261	-0.0101169392	0.0578273677	-0.0098039496	-0.0068946687	-0.0621097528	-0.022219243	-0.0163590638	-0.0621097528	-0.022219243	-0.0163590638	-0.088858123	-0.0136701281	-0.0105015404	-0.0650671575	-0.0280606733	-0.0198185169	-0.0666688516	-0.0058616385	-0.0050667884	nan	0.0030643384	-0.7976615298	-0.0867957436	0.0110969001	0.0055310337	0.9991296336	0.9907995318	0.9371580496	0.0132880857	-0.0276812323	-0.0189057232	0.0577381389	-0.0119618193	-0.0083647131	-0.0630646419	-0.0297642647	-0.0212991006	-0.0630646419	-0.0297642647	-0.0212991006	-0.0892872907	-0.0181404673	-0.0135613115	-0.0650084233	-0.0320077981	-0.0224895683	-0.0668793866	-0.0097206713	-0.0075960883	0.0052299812	-0.5935304549
Crepidula_fornicata	Crepidula fornicata	7008	755.321061644	638.037487359	0.5272499957	0.0481612559	0.615044114	0.1049398685	0.4104412683	0.0752979128	0.0087570816	-0.0593052387	-0.040693354	0.1098763445	0.0877969026	0.0588021715	nan	-0.0252360449	-0.0165021413	nan	-0.0252360449	-0.0165021413	nan	0.0218851436	0.0167291443	-0.0881515508	-0.0168033582	-0.010913462	nan	0.0105674219	0.0100639726	nan	-0.0375978958	-0.6953580401	0.0002028188	0.1187707502	0.0803163547	0.9991584217	0.9881182243	0.9282993055	0.037376169	0.0456798027	0.0308388638	0.1122375701	0.0943034428	0.063837352	nan	-0.0163605057	-0.014757416	nan	-0.0163605057	-0.014757416	nan	0.0350122357	0.0322321241	-0.081523211	0.0067537507	0.0051330964	nan	0.0359950788	0.0371778037	-0.0539035932	-0.7615364471
Crepidula_plana	Crepidula plana	3278	573.477425259	500.904519803	0.5253495425	0.0414749572	0.6081318341	0.0926010852	0.4079318514	0.0710380208	0.0006444679	0.0070962957	0.0046784916	0.101680814	0.0719508822	0.0483872153	nan	0.374882136	0.2530380745	nan	0.374882136	0.2530380745	nan	0.4468565181	0.3040194169	0.1834703114	0.3634626915	0.2442432452	0.210357982	0.3956449602	0.2663078914	nan	-0.4775201591	-0.7980231356	0.3632904288	0.6165564021	0.4350272137	0.9975836005	0.9826719578	0.9293296462	0.0162821857	0.0452848316	0.030158933	0.1041631576	0.0752994667	0.0512725259	nan	0.402737223	0.2768262206	nan	0.402737223	0.2768262206	nan	0.476694969	0.3298159483	0.1952016331	0.3922203934	0.268456381	0.222875555	0.4249848159	0.2917127104	-0.5027695803	-0.9450227846
Culex_hortensis	Culex hortensis	14005	403.843413067	272.236805952	0.5324686166	0.0644725382	0.6614114122	0.1434356911	0.4159610582	0.098095592	0.0021439907	0.0119368256	0.009247964	0.1021511598	0.1174416297	0.0789657405	0.0108088712	0.0612444899	0.0425969842	0.0108088712	0.0612444899	0.0425969842	nan	0.2257715872	0.1545513413	0.0546022262	0.1049555687	0.0706658509	0.1174882307	0.2067026628	0.1403401049	nan	-0.2852418677	-0.9611093865	0.2212475757	0.3529568036	0.2440990135	0.9980912502	0.9955222794	0.9579616358	0.0216119841	0.0361886007	0.0241937957	0.1180018944	0.1348762217	0.0920431831	0.0113057126	0.0629075825	0.0443809686	0.0113057126	0.0629075825	0.0443809686	nan	0.2361200211	0.1129998108	0.058707842	0.1112674985	0.0759513213	0.1275911581	0.2199888873	0.1515691236	-0.2958226684	-0.8958134747
Culex_pipiens_ref	Culex pipiens	5598	1499.09289032	1275.63511322	0.5677367595	0.0387584292	0.7423642218	0.0854707561	0.5246017096	0.1734551561	-0.0099194056	-0.0548194568	-0.0364742719	0.174106994	0.1836514462	0.123308911	-0.3572527709	-0.2995492222	-0.2038114531	-0.3572527709	-0.2995492222	-0.2038114531	-0.4110270749	-0.3126193966	-0.2140047783	-0.2731933886	-0.2412503007	-0.1629723921	-0.4226340921	-0.3105092904	-0.2126322488	nan	0.3111141235	0.0338886583	-0.1306257143	-0.1329969278	-0.0888466648	0.9993587584	0.9961133547	0.9617543812	0.015041112	-0.0091582495	-0.0062224633	0.1732655384	0.182802564	0.123334183	-0.3580687435	-0.3018218183	-0.2065533334	-0.3580687435	-0.3018218183	-0.2065533334	-0.4136005174	-0.3160640348	-0.2173840829	-0.2714722296	-0.2383842131	-0.1619848996	-0.4233459083	-0.3108515108	-0.2138892499	0.3150542449	-0.3782506421
